squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
19649,11,0,1,83,87255,4,4,1999,1,0,595,6282,795,1,2,1970018.9
141,16,0,1,58,42248,5,4,1997,1,0,3411,8985,213,0,4,22670.7
22821,64,1,1,14,66304,9,8,1993,1,1,2060,103,491,1,2,2289134.3
533,76,1,1,55,94923,6,8,2021,1,1,654,3585,301,0,9,65465.1
67020,71,1,1,38,64361,4,7,2015,0,0,3647,997,640,0,1,6711051.5
49094,30,1,0,49,90656,9,2,2021,0,1,4934,3570,625,1,8,4916616.1
25269,88,0,0,92,86720,6,7,2019,1,1,3464,5175,693,1,1,2530193.9
71989,41,0,0,77,50519,2,3,2003,0,0,7290,4027,337,1,4,7204744.3
73180,1,1,1,54,38386,9,7,2011,0,0,3340,452,784,1,10,7325717.1
18926,58,1,1,84,32618,6,4,1998,1,0,5353,4021,442,1,8,1908217.8
6492,76,0,0,88,81044,10,3,2018,1,0,2655,6299,372,0,9,652565.8
98045,4,1,1,8,78526,4,5,2002,0,0,9321,2416,570,1,0,9814193.2
51589,83,0,1,43,55528,6,10,1998,1,0,7867,7522,819,1,5,5167451.8
24390,75,1,0,44,70527,10,9,1992,0,0,7295,6840,235,0,1,2446317.2
75890,10,0,1,59,33129,9,5,2001,0,1,270,3676,744,0,8,7597786.1
29220,9,0,1,59,33789,7,6,1994,1,0,391,8842,706,0,0,2929116.4
72433,57,1,1,18,69864,7,7,2001,0,0,6995,8567,276,1,0,7250644.1
57467,98,0,0,64,24393,7,3,1993,0,0,661,9428,600,1,2,5749361.3
81482,76,1,0,9,56103,1,7,1997,0,0,2265,3606,281,0,6,8153070.7
61346,69,0,1,52,63238,7,10,2009,0,1,7427,5864,207,1,10,6141452.9
80915,23,1,1,67,46095,9,6,1992,1,1,5351,1864,569,0,0,8104297.2
65479,74,0,1,35,99953,10,5,2000,0,1,9347,1817,460,0,10,6552454.0
48302,22,1,0,13,82376,2,9,2017,0,0,9855,6297,543,1,1,4833604.7
76690,21,1,1,99,91395,1,1,1990,1,1,611,2112,181,1,8,7682267.0
14447,39,0,1,23,93847,6,8,2002,0,0,5371,9535,965,0,6,1448447.2
24213,31,1,1,93,51767,1,7,1994,1,0,1561,1228,653,0,5,2431969.4
1843,30,1,1,3,3,4,7,2007,1,1,1313,9063,706,0,5,189919.7
