year,avg_price
1990,5128645.0
1991,5913703.85
1992,6894438.45
1993,3409496.3
1994,3193081.9
1995,1670233.0
1996,4641307.1
1997,4228906.366666667
1998,3245032.55
1999,3149413.4000000004
2000,6552454.0
2001,5228972.766666667
2002,5770326.533333334
2003,6724033.8
2004,8558269.066666668
2006,3421188.4
2007,3434486.1
2008,4978512.3
2009,3769600.9000000004
2010,663333.0
2011,4976589.6
2012,1978066.2000000002
2013,2254918.3
2014,9498811.4
2015,5540022.25
2016,4506605.1
2017,4022673.2
2018,6147257.050000001
2019,3117747.5666666664
2020,2339782.0
2021,3820268.9
